date,open,high,low,close,volume
23/11/15,2.22,2.24,2.18,2.22,4862634
24/11/15,2.2,2.4,2.17,2.34,15858610
25/11/15,2.36,2.4,2.31,2.38,6915033
27/11/15,2.37,2.38,2.32,2.33,2606577
30/11/15,2.34,2.37,2.25,2.36,9915362
1/12/15,2.36,2.37,2.31,2.34,5646342
2/12/15,2.31,2.34,2.23,2.27,7501680
3/12/15,2.25,2.31,2.2,2.23,7054734
4/12/15,2.23,2.29,2.21,2.28,4573578
7/12/15,2.26,2.36,2.21,2.36,8473616
8/12/15,2.34,2.4,2.25,2.39,9055612
9/12/15,2.37,2.4,2.32,2.35,8694560
10/12/15,2.36,2.5,2.33,2.45,13067020
11/12/15,2.41,2.47,2.36,2.36,11883770
14/12/15,2.36,2.39,2.3,2.34,7686052
15/12/15,2.35,2.43,2.32,2.36,7319550
16/12/15,2.39,2.55,2.37,2.54,19507030
17/12/15,2.52,2.6,2.52,2.56,11374070
18/12/15,2.51,2.55,2.42,2.45,17704860
21/12/15,2.47,2.53,2.43,2.53,6871914
22/12/15,2.55,2.78,2.54,2.77,24888570
23/12/15,2.76,2.94,2.75,2.83,30365170
24/12/15,2.88,3,2.86,2.92,11900890
28/12/15,2.91,3.02,2.86,3,16048590
29/12/15,3.04,3.06,2.97,3,15292210
30/12/15,2.99,3.04,2.93,2.98,10046410
31/12/15,2.97,3.01,2.87,2.87,11068230
4/1/16,2.77,2.82,2.63,2.77,32356640
5/1/16,2.77,2.8,2.64,2.75,12972230
6/1/16,2.66,2.71,2.47,2.51,23750860
7/1/16,2.43,2.48,2.26,2.28,22177700
8/1/16,2.36,2.43,2.1,2.14,31821770
11/1/16,2.16,2.36,2.12,2.34,19629310
12/1/16,2.4,2.46,2.28,2.39,17979540
13/1/16,2.4,2.45,2.21,2.25,12749290
14/1/16,2.29,2.35,2.21,2.21,15568560
15/1/16,2.1,2.13,1.99,2.03,21190630
19/1/16,2.08,2.11,1.9,1.95,18935550
20/1/16,1.81,1.95,1.75,1.8,29229490
21/1/16,1.82,2.18,1.81,2.09,26382930
22/1/16,2.11,2.17,1.98,2.02,16245520
25/1/16,2.01,2.15,2.01,2.12,13062930
26/1/16,2.14,2.15,2.03,2.07,11095350
27/1/16,2.08,2.18,2.07,2.13,10829200
28/1/16,2.16,2.17,2.07,2.08,7112022
29/1/16,2.09,2.2,2.07,2.2,11998040
1/2/16,2.17,2.19,2.11,2.14,8816117
2/2/16,2.11,2.14,1.96,1.99,11214710
3/2/16,2.04,2.08,1.95,2.07,9978131
4/2/16,2.06,2.17,2.03,2.09,8284518
5/2/16,2.06,2.08,1.98,1.98,7912421
8/2/16,1.97,1.98,1.87,1.93,11581740
9/2/16,1.89,2,1.85,1.9,14991010
10/2/16,1.92,1.98,1.83,1.84,9466004
11/2/16,1.82,1.94,1.81,1.86,7858282
12/2/16,1.89,1.91,1.82,1.83,9936910
16/2/16,1.86,1.9,1.82,1.83,11851210
17/2/16,1.85,1.94,1.85,1.9,13765170
18/2/16,1.93,1.98,1.9,1.91,10804010
19/2/16,1.93,1.93,1.83,1.91,7784114
22/2/16,1.94,2.04,1.93,2.01,9893691
23/2/16,2.04,2.06,1.97,1.97,6709579
24/2/16,1.98,2.04,1.93,2.02,6906231
25/2/16,2.02,2.04,1.98,2.03,5614299
26/2/16,2.04,2.1,2.03,2.07,7911456
29/2/16,2.06,2.15,2.05,2.14,11400320
1/3/16,2.16,2.2,2.12,2.18,9009785
2/3/16,2.2,2.33,2.18,2.32,10843670
3/3/16,2.32,2.55,2.3,2.46,22082140
4/3/16,2.42,2.5,2.34,2.37,15431290
7/3/16,2.36,2.47,2.36,2.47,8794854
8/3/16,2.44,2.46,2.3,2.3,10018100
9/3/16,2.32,2.35,2.2,2.26,13076610
10/3/16,2.29,2.31,2.15,2.26,9622544
11/3/16,2.29,2.54,2.29,2.52,21362570
14/3/16,2.53,2.75,2.5,2.72,33838770
15/3/16,2.67,2.69,2.45,2.49,21564540
16/3/16,2.5,2.64,2.49,2.63,12850070
17/3/16,2.77,2.81,2.7,2.8,28999640
18/3/16,2.8,2.93,2.77,2.93,26303210
21/3/16,2.9,2.9,2.75,2.8,13448710
22/3/16,2.73,2.85,2.71,2.79,10315300
23/3/16,2.8,2.83,2.68,2.68,10161830
24/3/16,2.69,2.81,2.62,2.79,10035960
28/3/16,2.81,2.84,2.73,2.78,7683731
29/3/16,2.74,2.88,2.7,2.86,13611540
30/3/16,2.88,2.98,2.85,2.86,14945710
31/3/16,2.84,2.88,2.8,2.85,9068395
1/4/16,2.79,2.88,2.76,2.83,8257526
4/4/16,2.83,2.87,2.8,2.83,5591035
5/4/16,2.76,2.84,2.72,2.76,9638433
6/4/16,2.75,2.8,2.72,2.8,12532990
7/4/16,2.76,2.83,2.61,2.64,13403710
8/4/16,2.7,2.76,2.68,2.74,8483296
11/4/16,2.76,2.82,2.74,2.76,9031849
12/4/16,2.79,2.85,2.76,2.81,16117070
13/4/16,2.78,2.82,2.73,2.8,8047970
14/4/16,2.77,2.79,2.7,2.72,8979330
15/4/16,2.72,2.75,2.68,2.7,7485518
18/4/16,2.67,2.8,2.65,2.76,8935556
19/4/16,2.78,2.78,2.61,2.62,11701290
20/4/16,2.62,2.72,2.61,2.7,7914238
21/4/16,2.65,2.7,2.6,2.62,13457330
22/4/16,3.19,3.99,3.18,3.99,143087900
25/4/16,3.81,3.82,3.31,3.45,80580780
26/4/16,3.45,3.75,3.44,3.66,36265690
27/4/16,3.55,3.75,3.53,3.73,24123980
28/4/16,3.69,3.8,3.6,3.61,20173350
29/4/16,3.69,3.69,3.45,3.55,17712050
2/5/16,3.58,3.75,3.57,3.74,16966920
3/5/16,3.7,3.71,3.58,3.6,13781440
4/5/16,3.54,3.67,3.54,3.6,8687477
5/5/16,3.64,3.8,3.61,3.66,21529470
6/5/16,3.65,3.75,3.64,3.68,11838240
9/5/16,3.66,3.68,3.45,3.65,16299370
10/5/16,3.66,3.68,3.56,3.64,9413073
11/5/16,3.61,3.68,3.6,3.65,7537126
12/5/16,3.65,3.68,3.55,3.59,9236210
13/5/16,3.56,3.73,3.55,3.67,16468240
16/5/16,3.67,3.85,3.65,3.79,14703790
17/5/16,3.8,3.98,3.69,3.79,20065840
18/5/16,3.79,3.97,3.77,3.84,19504420
19/5/16,3.83,3.85,3.69,3.77,17624020
