Date,Open,High,Low,Close,Volume
2015-11-23,2.22,2.24,2.18,2.22,4862634
2015-11-24,2.20,2.40,2.17,2.34,15858610
2015-11-25,2.36,2.40,2.31,2.38,6915033
2015-11-27,2.37,2.38,2.32,2.33,2606577
2015-11-30,2.34,2.37,2.25,2.36,9915362
2015-12-01,2.36,2.37,2.31,2.34,5646342
2015-12-02,2.31,2.34,2.23,2.27,7501680
2015-12-03,2.25,2.31,2.20,2.23,7054734
2015-12-04,2.23,2.29,2.21,2.28,4573578
2015-12-07,2.26,2.36,2.21,2.36,8473616
2015-12-08,2.34,2.40,2.25,2.39,9055612
2015-12-09,2.37,2.40,2.32,2.35,8694560
2015-12-10,2.36,2.50,2.33,2.45,13067020
2015-12-11,2.41,2.47,2.36,2.36,11883770
2015-12-14,2.36,2.39,2.30,2.34,7686052
2015-12-15,2.35,2.43,2.32,2.36,7319550
2015-12-16,2.39,2.55,2.37,2.54,19507030
2015-12-17,2.52,2.60,2.52,2.56,11374070
2015-12-18,2.51,2.55,2.42,2.45,17704860
2015-12-21,2.47,2.53,2.43,2.53,6871914
2015-12-22,2.55,2.78,2.54,2.77,24888570
2015-12-23,2.76,2.94,2.75,2.83,30365170
2015-12-24,2.88,3.00,2.86,2.92,11900890
2015-12-28,2.91,3.02,2.86,3.00,16048590
2015-12-29,3.04,3.06,2.97,3.00,15292210
2015-12-30,2.99,3.04,2.93,2.98,10046410
2015-12-31,2.97,3.01,2.87,2.87,11068230
2016-01-04,2.77,2.82,2.63,2.77,32356640
2016-01-05,2.77,2.80,2.64,2.75,12972230
2016-01-06,2.66,2.71,2.47,2.51,23750860
2016-01-07,2.43,2.48,2.26,2.28,22177700
2016-01-08,2.36,2.43,2.10,2.14,31821770
2016-01-11,2.16,2.36,2.12,2.34,19629310
2016-01-12,2.40,2.46,2.28,2.39,17979540
2016-01-13,2.40,2.45,2.21,2.25,12749290
2016-01-14,2.29,2.35,2.21,2.21,15568560
2016-01-15,2.10,2.13,1.99,2.03,21190630
2016-01-19,2.08,2.11,1.90,1.95,18935550
2016-01-20,1.81,1.95,1.75,1.80,29229490
2016-01-21,1.82,2.18,1.81,2.09,26382930
2016-01-22,2.11,2.17,1.98,2.02,16245520
2016-01-25,2.01,2.15,2.01,2.12,13062930
2016-01-26,2.14,2.15,2.03,2.07,11095350
2016-01-27,2.08,2.18,2.07,2.13,10829200
2016-01-28,2.16,2.17,2.07,2.08,7112022
2016-01-29,2.09,2.20,2.07,2.20,11998040
2016-02-01,2.17,2.19,2.11,2.14,8816117
2016-02-02,2.11,2.14,1.96,1.99,11214710
2016-02-03,2.04,2.08,1.95,2.07,9978131
2016-02-04,2.06,2.17,2.03,2.09,8284518
2016-02-05,2.06,2.08,1.98,1.98,7912421
2016-02-08,1.97,1.98,1.87,1.93,11581740
2016-02-09,1.89,2.00,1.85,1.90,14991010
2016-02-10,1.92,1.98,1.83,1.84,9466004
2016-02-11,1.82,1.94,1.81,1.86,7858282
2016-02-12,1.89,1.91,1.82,1.83,9936910
2016-02-16,1.86,1.90,1.82,1.83,11851210
2016-02-17,1.85,1.94,1.85,1.90,13765170
2016-02-18,1.93,1.98,1.90,1.91,10804010
2016-02-19,1.93,1.93,1.83,1.91,7784114
2016-02-22,1.94,2.04,1.93,2.01,9893691
2016-02-23,2.04,2.06,1.97,1.97,6709579
2016-02-24,1.98,2.04,1.93,2.02,6906231
2016-02-25,2.02,2.04,1.98,2.03,5614299
2016-02-26,2.04,2.10,2.03,2.07,7911456
2016-02-29,2.06,2.15,2.05,2.14,11400320
2016-03-01,2.16,2.20,2.12,2.18,9009785
2016-03-02,2.20,2.33,2.18,2.32,10843670
2016-03-03,2.32,2.55,2.30,2.46,22082140
2016-03-04,2.42,2.50,2.34,2.37,15431290
2016-03-07,2.36,2.47,2.36,2.47,8794854
2016-03-08,2.44,2.46,2.30,2.30,10018100
2016-03-09,2.32,2.35,2.20,2.26,13076610
2016-03-10,2.29,2.31,2.15,2.26,9622544
2016-03-11,2.29,2.54,2.29,2.52,21362570
2016-03-14,2.53,2.75,2.50,2.72,33838770
2016-03-15,2.67,2.69,2.45,2.49,21564540
2016-03-16,2.50,2.64,2.49,2.63,12850070
2016-03-17,2.77,2.81,2.70,2.80,28999640
2016-03-18,2.80,2.93,2.77,2.93,26303210
2016-03-21,2.90,2.90,2.75,2.80,13448710
2016-03-22,2.73,2.85,2.71,2.79,10315300
2016-03-23,2.80,2.83,2.68,2.68,10161830
2016-03-24,2.69,2.81,2.62,2.79,10035960
2016-03-28,2.81,2.84,2.73,2.78,7683731
2016-03-29,2.74,2.88,2.70,2.86,13611540
2016-03-30,2.88,2.98,2.85,2.86,14945710
2016-03-31,2.84,2.88,2.80,2.85,9068395
2016-04-01,2.79,2.88,2.76,2.83,8257526
2016-04-04,2.83,2.87,2.80,2.83,5591035
2016-04-05,2.76,2.84,2.72,2.76,9638433
2016-04-06,2.75,2.80,2.72,2.80,12532990
2016-04-07,2.76,2.83,2.61,2.64,13403710
2016-04-08,2.70,2.76,2.68,2.74,8483296
2016-04-11,2.76,2.82,2.74,2.76,9031849
2016-04-12,2.79,2.85,2.76,2.81,16117070
2016-04-13,2.78,2.82,2.73,2.80,8047970
2016-04-14,2.77,2.79,2.70,2.72,8979330
2016-04-15,2.72,2.75,2.68,2.70,7485518
2016-04-18,2.67,2.80,2.65,2.76,8935556
2016-04-19,2.78,2.78,2.61,2.62,11701290
2016-04-20,2.62,2.72,2.61,2.70,7914238
2016-04-21,2.65,2.70,2.60,2.62,13457330
2016-04-22,3.19,3.99,3.18,3.99,143087900
2016-04-25,3.81,3.82,3.31,3.45,80580780
2016-04-26,3.45,3.75,3.44,3.66,36265690
2016-04-27,3.55,3.75,3.53,3.73,24123980
2016-04-28,3.69,3.80,3.60,3.61,20173350
2016-04-29,3.69,3.69,3.45,3.55,17712050
2016-05-02,3.58,3.75,3.57,3.74,16966920
2016-05-03,3.70,3.71,3.58,3.60,13781440
2016-05-04,3.54,3.67,3.54,3.60,8687477
2016-05-05,3.64,3.80,3.61,3.66,21529470
2016-05-06,3.65,3.75,3.64,3.68,11838240
2016-05-09,3.66,3.68,3.45,3.65,16299370
2016-05-10,3.66,3.68,3.56,3.64,9413073
2016-05-11,3.61,3.68,3.60,3.65,7537126
2016-05-12,3.65,3.68,3.55,3.59,9236210
2016-05-13,3.56,3.73,3.55,3.67,16468240
2016-05-16,3.67,3.85,3.65,3.79,14703790
2016-05-17,3.80,3.98,3.69,3.79,20065840
2016-05-18,3.79,3.97,3.77,3.84,19504420
2016-05-19,3.83,3.85,3.69,3.77,17624020
2016-05-20,3.83,3.90,3.81,3.87,13774400
2016-05-23,3.90,4.20,3.88,4.04,35454680
2016-05-24,4.09,4.21,3.92,4.20,34265660
2016-05-25,4.24,4.35,4.15,4.18,24718920
2016-05-26,4.19,4.38,4.17,4.35,22614570
2016-05-27,4.39,4.63,4.37,4.60,34394040
2016-05-31,4.67,4.71,4.50,4.57,25316020
2016-06-01,4.60,4.64,4.38,4.43,29675440
2016-06-02,4.37,4.40,4.07,4.24,35324690
2016-06-03,4.16,4.20,4.08,4.16,17554780
2016-06-06,4.20,4.51,4.17,4.47,21301450
2016-06-07,4.56,4.67,4.47,4.51,20598900
2016-06-08,4.54,4.56,4.38,4.46,16064990
2016-06-09,4.41,4.54,4.32,4.52,16218510
2016-06-10,4.40,4.47,4.30,4.32,15091610
2016-06-13,4.32,4.48,4.32,4.40,13535210
2016-06-14,4.40,4.51,4.33,4.39,16748840
2016-06-15,4.44,4.48,4.30,4.42,11574240
2016-06-16,4.50,4.75,4.46,4.75,34162050
2016-06-17,4.75,5.27,4.68,5.26,64877400
2016-06-20,5.39,5.45,5.09,5.10,43523000
2016-06-21,5.10,5.50,5.09,5.45,35828650
2016-06-22,5.46,5.52,4.96,5.02,47909030
2016-06-23,5.17,5.26,5.05,5.21,29082970
2016-06-24,4.82,5.07,4.76,4.88,36694080
2016-06-27,4.88,5.05,4.65,4.72,31105750
2016-06-28,4.95,5.19,4.91,5.12,29160390
2016-06-29,5.31,5.40,5.10,5.13,33081670
2016-06-30,5.13,5.19,4.95,5.14,26091260
2016-07-01,5.09,5.14,5.00,5.07,18200080
2016-07-05,5.03,5.05,4.88,4.96,16327740
2016-07-06,4.91,5.11,4.90,5.04,19388990
2016-07-07,5.07,5.10,4.94,5.02,15772980
2016-07-08,4.84,5.15,4.82,5.10,28117990
2016-07-11,5.13,5.19,5.00,5.01,21009260
2016-07-12,5.01,5.17,5.01,5.14,20823380
2016-07-13,5.14,5.19,5.04,5.09,13987340
2016-07-14,5.15,5.24,5.06,5.17,20038890
2016-07-15,5.20,5.20,5.10,5.14,14169150
2016-07-18,5.19,5.57,5.13,5.51,38589410
2016-07-19,5.50,5.55,5.34,5.41,23418010
2016-07-20,5.48,5.50,5.40,5.41,20097130
2016-07-21,5.43,5.45,5.10,5.22,39520180
2016-07-22,5.73,5.97,5.45,5.84,101819500
2016-07-25,5.93,6.95,5.92,6.70,118273300
2016-07-26,6.76,7.16,6.71,6.98,81172410
2016-07-27,6.93,6.98,6.68,6.85,38538500
2016-07-28,6.79,6.98,6.74,6.82,27498120
2016-07-29,6.88,6.96,6.75,6.86,22576780
2016-08-01,6.89,6.92,6.57,6.64,26702130
2016-08-02,6.56,6.60,6.15,6.26,40797280
2016-08-03,6.18,6.45,6.15,6.30,23789750
2016-08-04,6.39,6.61,6.37,6.47,22400200
2016-08-05,6.56,6.76,6.47,6.61,20155210
2016-08-08,6.70,6.85,6.65,6.68,21442770
2016-08-09,6.75,6.78,6.54,6.60,16761580
2016-08-10,6.35,6.58,6.25,6.49,29037190
2016-08-11,6.50,6.59,6.46,6.58,13140610
2016-08-12,6.60,6.79,6.55,6.73,25464680
2016-08-15,6.79,6.97,6.78,6.95,28330880
2016-08-16,6.94,6.94,6.65,6.78,26737720
