date,open,high,low,close,volume
2015-11-23,42.55,43.18,42.53,42.96,13329980
2015-11-24,42.70,43.60,42.66,43.36,15767160
2015-11-25,43.32,43.50,43.24,43.36,10337720
2015-11-27,43.04,43.24,42.80,43.15,7236711
2015-11-30,43.12,43.15,42.61,42.62,15961140
2015-12-01,42.73,43.10,42.73,42.89,11145240
2015-12-02,42.83,42.93,42.59,42.77,12587880
2015-12-03,42.73,42.89,42.32,42.46,15004860
2015-12-04,42.58,43.48,42.58,43.29,16487970
2015-12-07,43.31,43.44,43.00,43.20,12030710
2015-12-08,43.05,43.25,42.80,43.01,10736110
2015-12-09,42.78,43.27,42.50,42.66,12945500
2015-12-10,42.73,43.07,42.53,42.76,15483280
2015-12-11,42.63,42.83,42.14,42.27,17312930
2015-12-14,42.31,42.76,41.97,42.45,20053640
2015-12-15,42.84,43.24,42.76,43.07,17914330
2015-12-16,43.25,43.91,43.25,43.84,21865760
2015-12-17,43.81,43.89,43.42,43.49,14668780
2015-12-18,43.36,43.42,42.50,42.50,24472900
2015-12-21,42.82,42.94,42.46,42.78,10419730
2015-12-22,42.86,43.39,42.71,43.29,12280330
2015-12-23,43.39,43.73,43.35,43.67,9082436
2015-12-24,43.49,43.72,43.42,43.54,3036573
2015-12-28,43.44,43.52,43.31,43.49,6326030
2015-12-29,43.54,43.78,43.50,43.71,7739807
2015-12-30,43.75,43.77,43.45,43.57,5098879
2015-12-31,43.30,43.34,42.87,42.96,9726895
2016-01-04,42.34,42.50,41.97,42.40,16040870
2016-01-05,42.31,42.63,42.17,42.55,15769450
2016-01-06,42.20,42.51,42.04,42.32,16234370
2016-01-07,41.65,42.11,41.45,41.62,20456460
2016-01-08,41.65,42.12,41.41,41.51,14630430
2016-01-11,41.58,41.86,41.29,41.58,15749380
2016-01-12,42.30,42.45,41.87,42.12,21804440
2016-01-13,42.17,42.57,41.79,41.85,16829600
2016-01-14,41.99,42.17,41.64,41.88,16027470
2016-01-15,40.95,41.59,40.93,41.50,21131870
2016-01-19,41.77,42.12,41.65,41.92,15449100
2016-01-20,41.45,41.62,40.75,41.38,19923490
2016-01-21,41.45,41.51,41.09,41.39,15547320
2016-01-22,41.64,42.24,41.45,42.06,15209220
2016-01-25,42.24,42.50,41.93,42.16,12483360
2016-01-26,42.16,42.50,41.93,42.08,12994240
2016-01-27,42.18,42.46,41.81,42.09,14159250
2016-01-28,42.18,42.72,42.06,42.57,16622810
2016-01-29,42.86,43.26,42.65,42.92,20425560
2016-02-01,42.60,43.15,42.57,43.00,17060810
2016-02-02,42.70,42.79,42.41,42.44,12324990
2016-02-03,42.80,42.94,42.28,42.72,15958300
2016-02-04,42.52,42.89,42.40,42.53,14413630
2016-02-05,42.93,42.99,42.26,42.44,17299960
2016-02-08,42.17,42.70,41.90,42.65,17252430
2016-02-09,42.26,43.49,42.26,43.30,24839360
2016-02-10,43.34,43.39,42.51,42.55,16728120
2016-02-11,42.03,42.61,41.98,42.41,16825080
2016-02-12,42.72,43.14,42.56,43.11,15196580
2016-02-16,43.32,43.46,43.02,43.36,12675530
2016-02-17,43.42,43.62,43.28,43.49,12313480
2016-02-18,43.63,43.73,43.30,43.61,11154720
2016-02-19,43.58,43.77,43.28,43.77,12849870
2016-02-22,43.76,44.16,43.63,43.94,20714540
2016-02-23,43.74,44.05,43.66,43.69,11157040
2016-02-24,43.56,43.94,43.37,43.91,10817810
2016-02-25,43.96,44.18,43.87,44.16,10897630
2016-02-26,44.04,44.06,43.11,43.14,18397570
2016-02-29,43.17,43.61,42.92,43.13,15018260
2016-03-01,43.38,43.69,43.17,43.69,12358150
2016-03-02,43.47,43.77,43.42,43.77,12856310
2016-03-03,43.61,43.98,43.54,43.96,13117210
2016-03-04,43.78,44.15,43.68,44.11,13685210
2016-03-07,43.91,44.14,43.86,44.01,10682730
2016-03-08,43.92,44.47,43.81,44.32,18888700
2016-03-09,44.39,44.83,44.29,44.81,18462650
2016-03-10,44.84,45.26,44.68,45.23,28880640
2016-03-11,45.00,45.25,44.93,45.20,16069510
2016-03-14,45.04,45.42,45.04,45.29,13182750
2016-03-15,45.08,45.56,45.07,45.24,13667530
2016-03-16,45.05,45.17,44.55,45.05,15366790
2016-03-17,45.05,45.91,44.97,45.77,24060820
2016-03-18,45.84,45.87,45.39,45.60,23866210
2016-03-21,45.42,45.87,45.36,45.67,9740034
2016-03-22,45.55,45.73,45.39,45.50,13787750
2016-03-23,45.40,45.71,45.35,45.46,9291564
2016-03-24,45.45,45.60,45.19,45.58,10877620
2016-03-28,45.56,45.93,45.51,45.80,13305420
2016-03-29,45.86,46.51,45.81,46.48,24998890
2016-03-30,46.63,46.73,46.33,46.58,14311930
2016-03-31,46.55,46.88,46.32,46.39,15537560
2016-04-01,46.14,46.87,46.11,46.83,14922480
2016-04-04,46.84,46.93,46.50,46.89,10622260
2016-04-05,46.62,46.81,46.44,46.53,10685790
2016-04-06,46.57,46.73,46.38,46.71,9122641
2016-04-07,46.50,46.58,46.16,46.36,9291886
2016-04-08,46.44,46.98,46.44,46.87,11946950
2016-04-11,46.90,47.13,46.41,46.44,11879670
2016-04-12,46.41,46.76,46.35,46.65,11219100
2016-04-13,46.77,46.78,45.82,46.04,13229310
2016-04-14,46.06,46.22,45.75,45.83,12981240
2016-04-15,45.82,46.16,45.68,46.10,13633420
2016-04-18,46.13,46.28,45.82,46.22,11537940
2016-04-19,46.31,46.62,46.15,46.60,14413610
2016-04-20,45.34,45.38,44.06,44.37,40344680
2016-04-21,44.26,44.28,42.87,43.66,37194950
2016-04-22,43.79,44.66,43.79,44.54,25116050
2016-04-25,44.50,44.72,44.38,44.71,11173720
2016-04-26,44.92,44.96,44.43,44.53,13923140
2016-04-27,44.64,44.86,44.25,44.68,11324840
2016-04-28,44.50,44.90,44.46,44.63,10932510
2016-04-29,44.53,44.86,44.50,44.80,11707240
2016-05-02,44.57,45.19,44.57,44.98,12566080
2016-05-03,44.87,45.07,44.65,44.84,10420240
2016-05-04,44.72,45.11,44.51,44.98,9337556
2016-05-05,44.93,45.49,44.87,45.06,8789666
2016-05-06,45.06,45.41,44.92,45.32,8563796
2016-05-09,45.32,45.50,45.17,45.24,8110493
2016-05-10,45.44,45.84,45.42,45.75,8931387
2016-05-11,45.73,45.88,45.45,45.46,8833093
2016-05-12,45.55,45.90,45.49,45.83,10452920
2016-05-13,45.75,45.83,45.23,45.35,10329100
2016-05-16,45.16,45.73,45.14,45.62,9399949
2016-05-17,45.45,45.56,44.71,44.75,17456450
2016-05-18,44.56,44.83,44.23,44.48,12524170
2016-05-19,44.25,44.39,44.04,44.32,10652220
2016-05-20,44.51,44.54,43.94,43.95,12913870
2016-05-23,44.07,44.16,43.94,43.97,13553370
2016-05-24,44.10,44.42,44.00,44.37,12633890
2016-05-25,44.51,44.63,44.25,44.38,9218142
2016-05-26,44.53,44.77,44.44,44.69,8695717
2016-05-27,44.71,44.96,44.65,44.78,7887600
2016-05-31,44.98,44.98,44.26,44.60,18934810
2016-06-01,44.60,44.78,44.49,44.70,8898124
2016-06-02,44.70,44.72,44.50,44.72,6682821
2016-06-03,44.75,45.05,44.68,45.04,13434860
2016-06-06,45.09,45.48,45.08,45.37,10308550
2016-06-07,45.35,45.48,45.20,45.32,9812130
2016-06-08,45.24,45.66,45.19,45.55,7915401
2016-06-09,45.33,45.80,45.31,45.76,8042848
2016-06-10,45.62,46.01,45.56,45.99,12356210
2016-06-13,45.48,45.67,45.09,45.12,10603100
2016-06-14,44.85,45.13,44.44,45.04,11296730
2016-06-15,45.12,45.34,44.88,45.01,8352409
2016-06-16,44.87,45.34,44.72,45.31,11305130
2016-06-17,45.17,45.22,44.38,44.79,20805240
2016-06-20,45.09,45.31,44.96,44.98,10539190
2016-06-21,45.16,45.28,45.00,45.13,7918895
2016-06-22,45.25,45.33,44.81,44.86,10738650
2016-06-23,45.03,45.17,44.84,45.08,9653861
2016-06-24,44.20,44.56,43.82,43.93,25992710
2016-06-27,43.67,43.89,43.32,43.78,15787870
2016-06-28,44.06,44.19,43.67,44.18,16498920
2016-06-29,44.39,44.71,44.24,44.44,12250900
2016-06-30,44.52,45.33,44.49,45.33,16055350
2016-07-01,45.32,45.41,45.07,45.12,11797930
2016-07-05,45.16,45.67,45.15,45.43,12339040
2016-07-06,45.50,45.55,44.92,45.27,10902570
2016-07-07,45.42,45.52,44.97,45.09,9739821
2016-07-08,45.30,45.52,45.07,45.38,11119260
2016-07-11,45.35,45.77,45.11,45.57,10937740
2016-07-12,45.64,45.71,45.18,45.58,9746804
2016-07-13,45.61,45.76,45.43,45.74,8028213
2016-07-14,45.73,45.94,45.58,45.69,7619230
2016-07-15,45.88,45.90,45.44,45.63,10620950
2016-07-18,45.69,45.70,45.48,45.63,7958313
2016-07-19,45.46,45.71,45.43,45.63,7761080
2016-07-20,45.75,45.77,45.39,45.51,8466264
2016-07-21,45.34,45.51,45.26,45.45,8138952
2016-07-22,45.50,45.84,45.46,45.83,8835344
2016-07-25,45.81,45.83,45.47,45.57,9134131
2016-07-26,45.53,45.65,44.83,44.88,15818030
2016-07-27,43.90,44.06,43.10,43.40,37452670
2016-07-28,43.27,43.69,43.22,43.65,13068390
2016-07-29,43.72,43.75,43.48,43.63,16529300
2016-08-01,43.69,43.83,43.43,43.45,12349420
2016-08-02,43.35,43.58,43.31,43.53,12824320
2016-08-03,43.66,43.70,43.37,43.64,12119060
2016-08-04,43.56,43.80,43.40,43.51,11236060
2016-08-05,43.65,43.75,43.41,43.48,10390060
2016-08-08,43.43,43.52,43.22,43.44,8672915
2016-08-09,43.50,43.64,43.38,43.47,7281032
